seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
32,Kenneth,Powers,36,Wufka Center,Jaghuwmo,ND,06503,$3408.15,BLUE,02/02/1999
33,Martin,Weaver,28,Foaji Place,Ubbazmic,AR,70567,$2994.26,WHITE,05/20/1932
34,Susan,McCarthy,34,Hahew Square,Ugdeco,IL,49138,$4774.64,YELLOW,04/06/1996
35,Marc,Mathis,61,Ezoc Key,Wubevno,MI,54964,$468.24,RED,03/19/2038
36,Myrtie,Strickland,32,Fipjus Avenue,Belitte,PA,16667,$694.59,WHITE,02/18/1976
37,Joe,Phillips,35,Mumo River,Uvvupfa,MO,69368,$7307.78,YELLOW,08/07/1931
38,Milton,Blake,52,Onve Drive,Inoguwog,CA,91711,$8550.82,RED,06/25/1947
39,Leonard,Flowers,56,Rotem Lane,Japaspa,WI,14047,$1529.36,WHITE,05/29/2059
40,Matthew,Wood,49,Viigu Pike,Vukekiin,NE,71019,$3935.45,GREEN,05/12/1962
41,Christine,Ramos,31,Amni Avenue,Sowjebu,IL,62565,$7075.78,GREEN,04/04/1900
42,Celia,Rogers,45,Tubvah Junction,Hikahmuc,HI,75091,$8393.05,WHITE,06/23/1987
43,Genevieve,Lee,64,Oguco Drive,Keveila,HI,52037,$685.53,RED,08/02/1970
44,Timothy,Barker,42,Imazem Path,Tehwivik,NJ,79330,$4172.15,WHITE,02/04/1960
45,Barry,Black,35,Otone Boulevard,Gapwunha,CA,27378,$1593.68,RED,03/25/1959
46,Craig,Bishop,48,Bodtik Way,Mersuwuj,DC,48909,$9456.86,RED,11/28/2070
47,Leon,Griffith,55,Bonozo Way,Guniuru,MS,94584,$2875.56,GREEN,01/30/1917
48,Warren,Diaz,21,Vufiz Plaza,Muullo,FL,65603,$6172.50,BLUE,11/19/2064
49,Mary,Morgan,27,Kupow Plaza,Teawugez,MN,77355,$7045.84,WHITE,10/13/2005
50,Joel,Gonzales,25,Zipag Drive,Varviwu,VT,58862,$9321.22,WHITE,12/26/2048
51,May,Bradley,25,Falis Center,Itefaku,UT,98679,$1146.68,WHITE,09/07/2043
52,Herbert,Harmon,24,Sagpu Parkway,Jakvibu,NH,70974,$2516.43,WHITE,07/20/1999
53,Todd,Massey,44,Hunha Plaza,Ruluppiz,ID,33798,$4567.61,BLUE,09/11/1936
54,Dylan,Peters,65,Esidem Court,Rolbouju,AL,91872,$150.80,WHITE,08/20/1913
55,James,McLaughlin,55,Vize Avenue,Opuruhsof,CO,83939,$8049.44,GREEN,07/29/2035
56,Inez,Olson,45,Mizci Highway,Punusevas,WI,57724,$1269.72,YELLOW,02/01/1978
57,Janie,Fowler,49,Cupcah Center,Efezakpan,NM,05027,$1338.51,RED,04/22/1967
58,Jimmy,Valdez,53,Reciz Street,Izufuvo,ME,46065,$2449.10,RED,04/08/1950
59,Minnie,French,44,Cifnaw Highway,Licmuzoz,CT,42829,$6352.20,YELLOW,04/29/1916
60,Jeanette,Burgess,29,Ferobi Extension,Molkofe,TX,01752,$7851.41,RED,11/15/2044
61,Lura,Greer,31,Nunnim Pass,Zalricow,ND,15964,$1481.35,GREEN,08/08/1960
62,Garrett,Murray,22,Siglos Plaza,Nujuade,CO,51660,$3045.79,RED,01/03/1924
63,Evan,Murphy,48,Ijufuv Mill,Ihicoj,LA,72758,$6846.00,WHITE,03/30/2031
64,Alta,Harris,26,Dubda Key,Witawse,AZ,54643,$1818.86,WHITE,02/23/1986
65,Charlotte,Dennis,62,Okme Plaza,Nulmolzad,TX,17891,$7144.03,RED,09/25/2035
66,Chad,McKinney,21,Cedi Point,Sosois,RI,43771,$9117.49,BLUE,10/24/1935
67,Brent,Kennedy,36,Kovo Parkway,Nipehvu,CA,32009,$1351.17,RED,05/26/1992
68,Dean,Young,27,Vede Path,Ihubdag,AL,13632,$1377.01,YELLOW,06/13/2070
69,Anthony,Love,41,Ajbe Circle,Vuzomohi,NE,23691,$4190.63,WHITE,06/01/1969
70,Lettie,Rogers,23,Wilfus Ridge,Sovzicdom,PA,61799,$7191.59,WHITE,01/08/1912
71,Gene,Daniel,18,Fughuz Highway,Igjimi,WY,83582,$8194.11,RED,07/26/2058
72,Danny,Warren,34,Jocub Place,Vumdoki,FL,47494,$8585.74,RED,08/30/2021
73,Louise,Carr,23,Katig Grove,Komuhib,MN,30865,$2884.37,WHITE,12/07/2061
74,Alvin,Colon,30,Otfe Center,Alojbo,NV,90519,$7145.03,WHITE,03/07/1964
75,Cornelia,Yates,61,Mimos Parkway,Pusgumlaj,GA,35683,$3371.18,GREEN,11/14/2047
76,Jack,Tran,65,Efekuv Mill,Guvgofuj,CA,12379,$4251.06,GREEN,12/24/2025
77,Larry,Brooks,37,Fizu Drive,Witubiv,IL,73502,$6689.04,YELLOW,12/10/1993
78,Victor,Barnes,24,Repko Plaza,Fohtowu,NC,35929,$4163.64,GREEN,08/22/2005
79,Dominic,Perez,44,Fisat Terrace,Daklezkew,SC,42034,$836.34,GREEN,04/23/2035
80,Charlotte,Burton,27,Deica Plaza,Vuwcima,RI,60707,$7237.09,BLUE,04/24/1991
81,Barry,McCormick,45,Uculim Trail,Ichuwvo,SC,95908,$6736.35,BLUE,01/22/1987
82,Helena,Reeves,31,Nitar Path,Mecohuv,DC,10257,$7021.01,RED,02/05/2065
83,Herman,Luna,23,Jamon Extension,Dilvuva,DC,60419,$8127.51,GREEN,11/01/1971
84,Luella,Park,35,Doveha Court,Hegwilju,UT,23069,$7469.16,BLUE,10/15/2014
85,Rhoda,Welch,42,Gupa Loop,Teucde,KY,04295,$9548.15,WHITE,05/06/1934
86,Jeanette,Scott,53,Kesuc Drive,Belumfen,IN,02994,$6847.81,GREEN,11/24/1979
87,George,Alvarado,64,Efere Junction,Futozca,GA,41870,$5374.40,GREEN,04/23/1954
88,Leah,Cobb,62,Wokhas Grove,Hiwseus,ND,32004,$7949.29,WHITE,03/19/1977
89,Vera,Hayes,30,Sumduz Highway,Utogaza,ID,38209,$999.18,YELLOW,03/24/2056
90,Lina,McCormick,43,Mezcec Extension,Karerajit,CT,32366,$584.79,GREEN,08/27/1927
91,Tom,Campbell,59,Judlob Square,Suhudat,AL,97969,$4010.01,GREEN,09/09/2038
92,Luke,Roy,31,Itofe Mill,Ipihaer,SC,99315,$6412.46,WHITE,08/13/1910
93,Tom,Douglas,29,Kiwdic River,Cinevvas,AR,56012,$3142.46,YELLOW,01/24/2004
94,Philip,Adams,21,Icluw Drive,Cowolpul,RI,84023,$9997.00,GREEN,10/30/2066
95,Gabriel,Beck,45,Boki Pass,Owtaelo,CT,57051,$9897.38,WHITE,02/22/2007
96,Chad,Hamilton,48,Esiimu Ridge,Agivauli,FL,06238,$8610.77,RED,08/11/1948
97,Jose,Bowers,22,Forfu Road,Jopohel,MO,59292,$4285.25,YELLOW,02/13/2035
98,Ethel,Butler,35,Fohre Pass,Cowavroc,TX,43778,$6687.87,WHITE,04/24/2015
99,Melvin,Roberson,58,Coluf Court,Efoofcib,NM,51539,$9223.44,RED,10/01/1993
100,Marie,Barber,55,Mulbi Road,Hogiku,MD,86355,$2687.41,GREEN,04/29/2043
